id,claim,label,split,verdict,max_entail,max_contradict,max_gap,evidence_count,lc_success,score
8424,"In this bill that Ive just signed, we dont cut anybodys salary. We dont take away their pension. And we dont destroy their health care.",half-true,train,entail,0.988757312297821,0.0006842584698460996,0.988073053827975,1,True,1.4827938392118085
9140,America never made up for the gutting of the intelligence services that Bill Clinton did. I think those are (former CIA director George) Tenet's words ... that Bill Clinton gutted American intelligence.,half-true,train,entail,0.6460034251213074,0.033539723604917526,0.6124637015163898,2,True,0.9522352758795023
5017,Says Ted Cruzsaid I was in favor in Libya. I never discussed that subject.,pants-fire,train,contradict,2.3623588276677765e-05,0.9997913241386414,0.9997677005503647,1,True,1.4996751744138237
9832,President Barack Obama shut down NASA space flights and turned the agency into a Muslim outreach department.,false,train,contradict,1.965733099495992e-05,0.9996880292892456,0.9996683719582506,1,True,1.499522215268371
3491,"When Chuck Schumer and Marco Rubio tried to push amnesty, it was Ted Cruz who stopped them.",barely-true,train,contradict,4.314817488193512e-05,0.9996887445449829,0.999645596370101,1,True,1.4995115427300334
6649,"Many of (Hillary Clintons) friends took bigger deductions (than me). Warren Buffett took a massive deduction. (George) Soros, who is a friend of hers, took a massive deduction.",barely-true,train,contradict,0.000137904062285088,0.9994220733642578,0.9992841693019727,2,True,1.4990641580152442
11241,"Says that in the Philippines more than a century ago, Gen. John Pershing took 50 bullets, and he dipped them in pigs blood, and shot 49 Muslim rebels. The 50th person, he said, You go back to your people, and you tell them what happened. And for 25 years, there wasnt a problem.",pants-fire,valid,contradict,3.686670970637351e-05,0.9991456270217896,0.9991087603120832,1,True,1.4987000071778311
5825,"Technically, (Ted Cruz is) not even an American.",pants-fire,train,contradict,0.00012151614646427333,0.9990214109420776,0.9988998947956134,1,True,1.4984713583398843
6827,Says Romney and Bain Capital drove KB Toys into bankruptcy by loading it up with debt.,barely-true,train,contradict,3.196418401785195e-05,0.9988442659378052,0.9988123017537873,1,True,1.4982504168146988
4821,Woodrow Wilson borrowed $30 billion to fund World War I in 1917. That money has not been paid back. And we are still paying interest on it.,barely-true,train,contradict,0.00022649529273621738,0.9988130331039429,0.9985865378112067,1,True,1.4981063020095462
5132,Margaret Sanger wanted a black Christian leader to be like a Judas goat and lead the blacks to genocide. Remember that? And they picked Martin Luther King as their spokesman.,pants-fire,train,contradict,3.746045331354253e-05,0.9987131357192993,0.9986756752659858,1,True,1.4980509733522922
11765,"Says in 2003 Texas cut $10 billion out of the entire budget, yet we put $1.8 billion more into public education. We put $800 million more into health and human services.",barely-true,test,contradict,0.0001689693599473685,0.9981895089149475,0.9980205395550001,1,True,1.4971997786924476
